Product Name,Product Description,Product Categories,Product Price,Product Price per person,Minimum Price Per Person,Product Sub-category,Vegan,Gluten Free,Halal,Kind
Beef with Mix Vegetables with Fried Rice,,Chinese,20,,,Individually-Packed-Rice-Combo,FALSE,FALSE,FALSE,Platter
Berry Crunch Salad,"Romaine, Field Greens, Quinoa, Crumbled Feta, Strawberries, Dried Cranberries, Green Apple, Walnuts, Green Onions, Balsamic Vinaigrette",Healthy,15,,,Salads,FALSE,FALSE,FALSE,Individual
Berry Punch Juice (8 Pack),,Snacks & Drinks,8,,8,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Birthday Cake Cookies,,Specialty Desserts,115,5.75,,5oz Cookies,FALSE,FALSE,FALSE,Platter
Black Pepper Beef with Scallions,"Beef stir-fried with green onions, ginger with black pepper sauce",Chinese,200,10,,Main-Platter,FALSE,FALSE,FALSE,Individual
Black Pepper Beef with Scallions with Chowmein,,Chinese,20,,,Individually-Packed-Chowmein-Combo,FALSE,FALSE,FALSE,Platter
Black Pepper Beef with Scallions with Fried Rice,,Chinese,20,,,Individually-Packed-Rice-Combo,FALSE,FALSE,FALSE,Individual
Blackberry Sparkling Water (12 Pack),,Snacks & Drinks,14,,14,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Bolognese Rigatoni Platter,,Pasta,300,15,,Pasta-Platter,FALSE,FALSE,FALSE,Platter
Bolognese Rigatoni with Focaccia,,Pasta,18,,,Individually-Packed-Pasta,FALSE,FALSE,FALSE,Individual
Breadsticks,,Pizza,8,,,Breads,FALSE,FALSE,FALSE,Individual
Buddha Satay Noodle Bowl,"Rice Noodles, Broccoli, Cabbage, Carrots, Crispy Wontons, Green Onions, Spicy Peanut Sauce",Healthy,15,,,Bowls,FALSE,FALSE,FALSE,Individual
Butter Chicken,Boneless chicken breast cooked in creamy tomato sauce,Indian,140,7,,Curry-Platter,FALSE,FALSE,FALSE,Platter
Butter Chicken Biryani,"Saffron rice with butter chicken, spices, fried onions and cilantro garnish.",Indian Fusion,16.5,,,Individually-Packed,FALSE,FALSE,FALSE,Individual
Butter Chicken Biryani Platter,"Saffron rice with butter chicken, spices, fried onions and cilantro garnish.",Indian Fusion,300,15,,Biryani-Platter,FALSE,FALSE,FALSE,Platter
Butter Chicken Combo,"Butter Chicken with Dal Makhani, Rice & Naan ",Indian,19,,,Individual-Combo,FALSE,FALSE,FALSE,Individual
Butter Chicken Combo with Dessert,"Butter Chicken with Dal Makhani, Rice, Naan & Gulab Jamun",Indian,20,,,Individual-Combo-with-Dessert,FALSE,FALSE,FALSE,Individual
